budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
80000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",http://asoundofthunder.warnerbros.com/,10077,"[{""id"": 3737, ""name"": ""dying and death""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 9840, ""name"": ""romance""}, {""id"": 12616, ""name"": ""dinosaur""}]",en,A Sound of Thunder,"When a hunter sent back to the prehistoric era runs off the path he must not leave, he causes a chain reaction that alters history in disastrous ways.",7.342892,"[{""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Baldwin Entertainment Group"", ""id"": 2234}, {""name"": ""Dante Entertainment"", ""id"": 2755}, {""name"": ""Crusader Entertainment"", ""id"": 2978}, {""name"": ""ETIC Films"", ""id"": 2979}, {""name"": ""Forge"", ""id"": 2980}, {""name"": ""QI Quality International GmbH Co. KG"", ""id"": 2981}, {""name"": ""Signature Pictures"", ""id"": 2982}, {""name"": ""ApolloMedia Distribution"", ""id"": 16850}, {""name"": ""Coco"", ""id"": 87847}, {""name"": ""Film 111"", ""id"": 87848}, {""name"": ""Jericho Productions Ltd."", ""id"": 87849}, {""name"": ""MFF (Sound of Thunder)"", ""id"": 87850}, {""name"": ""Matrix Film Finance"", ""id"": 87851}, {""name"": ""Scenario Lane Productions"", ""id"": 87852}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-05-15,5989640,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,Some Rules Should Never Be Broken.,A Sound of Thunder,4.8,111
60000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.abeautifulmind.com/,453,"[{""id"": 30, ""name"": ""individual""}, {""id"": 222, ""name"": ""schizophrenia""}, {""id"": 1700, ""name"": ""massachusetts""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 2051, ""name"": ""intelligence""}, {""id"": 2303, ""name"": ""mathematician""}, {""id"": 2304, ""name"": ""market economy""}, {""id"": 2305, ""name"": ""economic theory""}, {""id"": 2307, ""name"": ""princeton university""}, {""id"": 2309, ""name"": ""nobel prize""}, {""id"": 2461, ""name"": ""mathematical theorem""}, {""id"": 2462, ""name"": ""m.i.t.""}, {""id"": 6009, ""name"": ""mathematics""}, {""id"": 6262, ""name"": ""delusion""}]",en,A Beautiful Mind,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",59.248437,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-11,313542341,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,I need to believe that something extra ordinary is possible...,A Beautiful Mind,7.7,3009
79000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.themysteriousisland.com/,72545,"[{""id"": 10364, ""name"": ""mission""}, {""id"": 40894, ""name"": ""mysterious island""}, {""id"": 156091, ""name"": ""missing person""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209714, ""name"": ""3d""}]",en,Journey 2: The Mysterious Island,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",40.723459000000005,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Contrafilm"", ""id"": 1836}, {""name"": ""Walden Media"", ""id"": 10221}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-01-19,355692760,94.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Believe the Impossible. Discover the Incredible.,Journey 2: The Mysterious Island,5.8,1030
79000000,"[{""id"": 35, ""name"": ""Comedy""}]",http://www.jackandjill-movie.com/,71880,"[{""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Jack and Jill,"Jack Sadelstein, a successful advertising executive in Los Angeles with a beautiful wife and kids, dreads one event each year: the Thanksgiving visit of his twin sister Jill. Jill's neediness and passive-aggressiveness is maddening to Jack, turning his normally tranquil life upside down.",22.132417999999998,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Broken Road Productions"", ""id"": 8000}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-11-11,149673788,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,His twin sister is coming for the holidays... ...and it ain't pretty.,Jack and Jill,4.1,604
64000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 14, ""name"": ""Fantasy""}]",http://www.thelittleprincemovie.com/,309809,"[{""id"": 490, ""name"": ""philosophy""}, {""id"": 3469, ""name"": ""utopia""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4414, ""name"": ""adventure""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9736, ""name"": ""little boy""}, {""id"": 9825, ""name"": ""growing up""}, {""id"": 10226, ""name"": ""neighbor""}, {""id"": 10707, ""name"": ""mother daughter relationship""}, {""id"": 10873, ""name"": ""school""}, {""id"": 10938, ""name"": ""old man""}, {""id"": 12663, ""name"": ""little girl""}, {""id"": 14532, ""name"": ""crazy""}, {""id"": 15101, ""name"": ""based on children's book""}, {""id"": 170647, ""name"": ""story""}, {""id"": 180787, ""name"": ""social differences""}, {""id"": 209714, ""name"": ""3d""}]",en,The Little Prince,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",35.384423,"[{""name"": ""Onyx Films"", ""id"": 2203}, {""name"": ""NetFlix"", ""id"": 8858}, {""name"": ""Orange Studios"", ""id"": 15433}, {""name"": ""CityMation"", ""id"": 41042}, {""name"": ""On Entertainment"", ""id"": 59725}, {""name"": ""Zippcast Films"", ""id"": 60658}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",2015-07-29,97571250,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Growing up isn't the problem... forgetting is.,The Little Prince,7.6,756
75000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://www.thesecretlifeofpets.com/,328111,"[{""id"": 2551, ""name"": ""pet""}, {""id"": 3208, ""name"": ""bunny""}, {""id"": 11500, ""name"": ""anthropomorphism""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 18165, ""name"": ""animal""}, {""id"": 33347, ""name"": ""apartment building""}, {""id"": 41412, ""name"": ""sewer""}, {""id"": 158225, ""name"": ""terrier""}, {""id"": 168346, ""name"": ""manhattan, new york city""}, {""id"": 204052, ""name"": ""rodent""}, {""id"": 229051, ""name"": ""mongrel""}]",en,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",31.482871999999997,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-06-18,875958308,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Think this is what they do all day?,The Secret Life of Pets,5.9,3462
76000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://www.despicableme.com/,93456,"[{""id"": 4289, ""name"": ""secret agent""}, {""id"": 7397, ""name"": ""bakery""}, {""id"": 13072, ""name"": ""falling in love""}, {""id"": 15300, ""name"": ""father daughter relationship""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 184783, ""name"": ""first date""}, {""id"": 190999, ""name"": ""minions""}, {""id"": 209714, ""name"": ""3d""}]",en,Despicable Me 2,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,136.886704,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-25,970761885,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Back 2 Work,Despicable Me 2,7.0,4637
76000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.universalstudiosentertainment.com/children-of-men/,9693,"[{""id"": 318, ""name"": ""police state""}, {""id"": 458, ""name"": ""hippie""}, {""id"": 526, ""name"": ""rebel""}, {""id"": 2618, ""name"": ""miracle""}, {""id"": 2964, ""name"": ""future""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 4630, ""name"": ""chaos""}, {""id"": 4995, ""name"": ""aging""}, {""id"": 5885, ""name"": ""childlessness""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 17985, ""name"": ""birth""}, {""id"": 41589, ""name"": ""dying""}]",en,Children of Men,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",35.387874,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Hit & Run Productions"", ""id"": 11429}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-09-22,69959751,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The future's a thing of the past.,Children of Men,7.4,2071
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",http://www.wantedmovie.com/,8909,"[{""id"": 782, ""name"": ""assassin""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 2908, ""name"": ""secret society""}, {""id"": 3045, ""name"": ""mission of murder""}, {""id"": 9748, ""name"": ""revenge""}]",en,Wanted,"Doormat Wesley Gibson discovers that his recently murdered father – who Wesley never knew – belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",73.82289,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Bazelevs Production"", ""id"": 1038}, {""name"": ""Kickstart Productions"", ""id"": 2526}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Top Cow Productions"", ""id"": 2528}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Ringerike Zweite Filmproduktion"", ""id"": 23955}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-06-19,258270008,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Choose your destiny.,Wanted,6.4,2528
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.iceagemovies.com/films/ice-age-the-meltdown,950,"[{""id"": 2078, ""name"": ""mammoth""}, {""id"": 2079, ""name"": ""sloth""}, {""id"": 2219, ""name"": ""ice age""}, {""id"": 2223, ""name"": ""barrier ice""}, {""id"": 2224, ""name"": ""ice melting""}, {""id"": 2984, ""name"": ""iceberg""}, {""id"": 3528, ""name"": ""flooding""}, {""id"": 4414, ""name"": ""adventure""}, {""id"": 4663, ""name"": ""lovers""}, {""id"": 4875, ""name"": ""deluge""}, {""id"": 158017, ""name"": ""saber-toothed tiger""}]",en,Ice Age: The Meltdown,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",85.11505799999999,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-03-23,660940780,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Ice age is melting away.,Ice Age: The Meltdown,6.5,2951
50000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.hairspraymovie.com/,2976,"[{""id"": 890, ""name"": ""races""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 2136, ""name"": ""television""}, {""id"": 2571, ""name"": ""tv show""}, {""id"": 3060, ""name"": ""race politics""}, {""id"": 5736, ""name"": ""coloured""}, {""id"": 6027, ""name"": ""music""}, {""id"": 6090, ""name"": ""equality""}, {""id"": 6275, ""name"": ""school party""}, {""id"": 6706, ""name"": ""performance""}, {""id"": 6713, ""name"": ""integration""}, {""id"": 8663, ""name"": ""overweight woman""}, {""id"": 12965, ""name"": ""duel""}, {""id"": 158375, ""name"": ""based on stage musical""}, {""id"": 160910, ""name"": ""xenophobia""}, {""id"": 165317, ""name"": ""based on film""}, {""id"": 208992, ""name"": ""1960s""}]",en,Hairspray,"Pleasantly plump teenager, Tracy Turnblad and her best friend, Penny Pingleton audition to be on The Corny Collins Show – and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy, it turns to chaos.",31.160542,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Offspring Entertainment"", ""id"": 2378}, {""name"": ""Zadan / Meron Productions"", ""id"": 70994}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-07-13,90450008,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"When you follow your own beat, the world will follow you.",Hairspray,6.5,709
80000000,"[{""id"": 35, ""name"": ""Comedy""}]",http://www.grownups-movie.com/,38365,"[{""id"": 2064, ""name"": ""overweight""}, {""id"": 6954, ""name"": ""swing""}, {""id"": 7600, ""name"": ""foot""}, {""id"": 11428, ""name"": ""convertible""}, {""id"": 11715, ""name"": ""arrow""}]",en,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",38.864027,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-24,271430189,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Boys will be boys. . . some longer than others.,Grown Ups,6.0,1705
60000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",http://www.theterminal-themovie.com/,594,"[{""id"": 242, ""name"": ""new york""}, {""id"": 822, ""name"": ""airport""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 1638, ""name"": ""translation""}, {""id"": 1846, ""name"": ""craftsman""}, {""id"": 2080, ""name"": ""stewardess""}, {""id"": 2173, ""name"": ""illegal immigration""}, {""id"": 2568, ""name"": ""language barrier""}, {""id"": 3013, ""name"": ""jfk international airport""}, {""id"": 3014, ""name"": ""immigration law""}, {""id"": 3015, ""name"": ""fast food restaurant""}, {""id"": 3016, ""name"": ""security camera""}, {""id"": 3017, ""name"": ""jazz musician""}, {""id"": 3018, ""name"": ""saxophonist""}, {""id"": 3019, ""name"": ""autograph""}, {""id"": 3022, ""name"": ""passport""}, {""id"": 3023, ""name"": ""eastern europe""}, {""id"": 6054, ""name"": ""friendship""}]",en,The Terminal,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",57.753914,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-17,219417255,128.0,"[{""iso_639_1"": ""bg"", ""name"": ""\u0431\u044a\u043b\u0433\u0430\u0440\u0441\u043a\u0438 \u0435\u0437\u0438\u043a""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Life is waiting.,The Terminal,7.0,1910
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",https://www.epicbuzz.net/movies/vertical-limit,11678,"[{""id"": 486, ""name"": ""himalaya""}, {""id"": 7021, ""name"": ""pakistan""}, {""id"": 8624, ""name"": ""climbing""}, {""id"": 9356, ""name"": ""k2""}, {""id"": 160177, ""name"": ""mountaineering""}, {""id"": 209504, ""name"": ""karakoram""}]",en,Vertical Limit,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives.",13.318744,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Global Entertainment Productions GmbH & Company Medien KG"", ""id"": 9269}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""PK"", ""name"": ""Pakistan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-12-08,215663859,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ur"", ""name"": ""\u0627\u0631\u062f\u0648""}]",Released,The Mountain Will Decide.,Vertical Limit,5.9,283
75000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",http://www.charliewilsonswar.net/,6538,"[{""id"": 521, ""name"": ""washington d.c.""}, {""id"": 567, ""name"": ""alcohol""}, {""id"": 591, ""name"": ""cia""}, {""id"": 720, ""name"": ""helicopter""}, {""id"": 973, ""name"": ""refugee camp""}, {""id"": 1705, ""name"": ""congress""}, {""id"": 2106, ""name"": ""cold war""}, {""id"": 2336, ""name"": ""ladykiller""}, {""id"": 2732, ""name"": ""rocket launcher""}, {""id"": 2808, ""name"": ""russian""}, {""id"": 4531, ""name"": ""munition""}, {""id"": 7158, ""name"": ""war in afghanistan""}, {""id"": 7597, ""name"": ""dollar""}]",en,Charlie Wilson's War,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",18.70031,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Participant Productions"", ""id"": 2030}, {""name"": ""Playtone Production"", ""id"": 2031}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-19,119000410,102.0,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""ur"", ""name"": ""\u0627\u0631\u062f\u0648""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,Based on a true story. You think we could make all this up?,Charlie Wilson's War,6.5,338
70000000,"[{""id"": 18, ""name"": ""Drama""}]",http://www.dreamgirlsmovie.com/,1125,"[{""id"": 532, ""name"": ""music record""}, {""id"": 554, ""name"": ""manager""}, {""id"": 577, ""name"": ""black people""}, {""id"": 596, ""name"": ""adultery""}, {""id"": 634, ""name"": ""soul""}, {""id"": 837, ""name"": ""show business""}, {""id"": 1803, ""name"": ""drug addiction""}, {""id"": 3089, ""name"": ""oscar award""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 4481, ""name"": ""deceived wife""}, {""id"": 4741, ""name"": ""recording contract""}, {""id"": 4742, ""name"": ""background singer""}, {""id"": 4744, ""name"": ""motown""}, {""id"": 4745, ""name"": ""the supremes""}, {""id"": 4746, ""name"": ""record producer""}, {""id"": 9457, ""name"": ""single""}, {""id"": 10229, ""name"": ""singer""}, {""id"": 12990, ""name"": ""singing""}, {""id"": 18021, ""name"": ""detroit""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 34094, ""name"": ""extramarital affair""}, {""id"": 41591, ""name"": ""music band""}]",en,Dreamgirls,"Three young women – Deena Jones, Effie White and Lorrell Robinson – dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.",14.486310999999999,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Laurence Mark Productions"", ""id"": 415}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-12-25,154937680,134.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One Dream Will Change Everything,Dreamgirls,6.6,284
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",http://killersfilm.com/,37821,"[{""id"": 782, ""name"": ""assassin""}]",en,Killers,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",23.004607,"[{""name"": ""Katalyst Films"", ""id"": 817}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Aversano Films"", ""id"": 60022}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-04,98159963,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Perfect wife. Perfect target.,Killers,5.7,772
75000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",http://www.sonypictures.com/movies/monsterhouse/,9297,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 1328, ""name"": ""secret""}, {""id"": 4290, ""name"": ""toy""}, {""id"": 10103, ""name"": ""children""}, {""id"": 10226, ""name"": ""neighbor""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 208349, ""name"": ""child""}]",en,Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",36.368839,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}, {""name"": ""ImageMovers"", ""id"": 11395}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-07-21,140175006,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The House is . . . ALIVE!,Monster House,6.3,874
75000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",http://www.immortalsmovie.com/splash/,37958,"[{""id"": 351, ""name"": ""poison""}, {""id"": 6092, ""name"": ""army""}, {""id"": 8985, ""name"": ""zeus""}, {""id"": 14667, ""name"": ""poseidon""}, {""id"": 18096, ""name"": ""spear""}]",en,Immortals,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",37.917002000000004,"[{""name"": ""Virgin Produced"", ""id"": 8852}, {""name"": ""Mark Canton Productions"", ""id"": 11761}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-11-10,226904017,110.0,"[{""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Gods need a hero.,Immortals,5.7,880
74000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.minionsmovie.com/,211672,"[{""id"": 3487, ""name"": ""assistant""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 189481, ""name"": ""evil mastermind""}, {""id"": 190999, ""name"": ""minions""}, {""id"": 209714, ""name"": ""3d""}]",en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",875.581305,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-17,1156730962,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Before Gru, they had a history of bad bosses",Minions,6.4,4571
